count,index,impulsemeasures,parameters,calculated,measures,key
26,85,"[u'4.6217', u'3195', u'-11.568', u'0.35077', u'3853.7']","[u'0.018798', u'0.98', u'-0.006', u'22050', u'0.29462']","[u'2.9165', u'2210', u'9.6241', u'0.46449', u'10307']","[u'3.574', u'7146.2', u'9.574', u'0.47653', u'9907.2']",4697330569707520
28,92,"[u'5.098', u'1610', u'-9.9003', u'0.44134', u'2290']","[u'0.080975', u'0.91', u'-0.01025', u'3685', u'19.302']","[u'5.6333', u'440', u'-14.977', u'0.46249', u'5633.8']","[u'0.77097', u'8963.4', u'-14.978', u'0.4637', u'5430.4']",4713763114582016
27,65,"[u'0.37221', u'8575', u'-61.028', u'0.033494', u'4498.1']","[u'0.012948', u'0.77', u'-0.0095833', u'5143', u'2.1052']","[u'0.22462', u'4190', u'7.9616', u'0.030278', u'6746.4']","[u'1.8774', u'9479.4', u'8.0124', u'0.031401', u'6463.6']",4721081738854400
26,84,"[u'0.81783', u'2720', u'-7.1751', u'0.0865', u'4281.8']","[u'0.044875', u'0.7', u'0', u'8480', u'3.9381']","[u'0.69042', u'590', u'2.5597', u'0.082957', u'8404.4']","[u'7.9416', u'876.96', u'2.5663', u'0.088798', u'7957.9']",4737668902551552
27,76,"[u'2.9186', u'9770', u'-6.5267', u'0.3895', u'254.72']","[u'0.018798', u'0.97', u'0.0035', u'394', u'34.908']","[u'3.1263', u'1620', u'-15.664', u'0.31096', u'1169.1']","[u'7.7388', u'1780.1', u'-15.715', u'0.32457', u'1148.2']",4741113466322944
26,38,"[u'1.195', u'2805', u'3.3506', u'0.20411', u'247.52']","[u'0.076893', u'0.79', u'-0.00375', u'326', u'9.5462']","[u'1.1963', u'300', u'6.0152', u'0.19603', u'1006.9']","[u'7.1818', u'567.96', u'6.0104', u'0.20043', u'989.35']",4757296903094272
29,60,"[u'1.4954', u'5045', u'-34.789', u'0.11044', u'4156.7']","[u'0.011859', u'0.95', u'-0.0048333', u'22050', u'13.064']","[u'1.6095', u'3830', u'-19.246', u'0.12027', u'10307']","[u'7.058', u'7347.7', u'-19.204', u'0.12417', u'10845']",4761334172352512
26,71,"[u'2.5525', u'7725', u'-4.1933', u'0.36501', u'200']","[u'0.024875', u'0.96', u'-0.0070833', u'308', u'49.285']","[u'3.2035', u'2020', u'-16.358', u'0.31465', u'962.51']","[u'7.657', u'8700.9', u'-16.333', u'0.31728', u'945.45']",4775224096587776
26,63,"[u'0.1165', u'8355', u'-71.549', u'0.010023', u'7771.7']","[u'0.010862', u'0.55', u'-0.00775', u'657', u'89.014']","[u'0.11954', u'4870', u'-11.013', u'0.01431', u'1734.5']","[u'6.2736', u'9611.7', u'-10.958', u'0.016398', u'1698.2']",4780214848585728
26,5,"[u'4.9779', u'2385', u'-10.445', u'0.40744', u'3392.2']","[u'0.048821', u'0.95', u'-0.0075', u'6988', u'0.60716']","[u'3.3757', u'840', u'9.8584', u'0.49543', u'7782.4']","[u'0.69432', u'3067.6', u'9.8649', u'0.49886', u'7404.9']",4788873502654464
