count,index,parameters,key
4,33,"[u'-39.17163', u'38.91833', u'16.62146', u'0.01018', u'0.95154']",5096363633147904
5,32,"[u'-96.09498', u'11.65829', u'17.62391', u'0.00675', u'0.01446']",5101298819006464
5,107,"[u'-70.54780', u'2.96358', u'9.49314', u'0.04796', u'0.97438']",5105650963054592
5,153,"[u'-44.89607', u'38.64211', u'7.19465', u'0.01108', u'0.93686']",5106594245246976
4,39,"[u'-98.48113', u'32.01488', u'12.69048', u'0.00340', u'0.02926']",5113123132407808
4,64,"[u'-65.85371', u'38.18713', u'19.63069', u'0.04753', u'0.62392']",5118084088070144
4,15,"[u'-95.85904', u'1.27691', u'16.52025', u'0.01711', u'0.97979']",5119667588825088
5,43,"[u'-25.34757', u'5.50186', u'19.21214', u'0.01069', u'0.28429']",5129512190738432
5,146,"[u'-96.78752', u'15.33225', u'15.10693', u'0.01213', u'0.98987']",5137355874762752
4,67,"[u'-74.16235', u'32.11861', u'19.65285', u'0.00587', u'0.06544']",5139717033033728
4,63,"[u'-92.93440', u'1.80204', u'10.03993', u'0.04421', u'0.05046']",5144752345317376
4,36,"[u'-95.04949', u'21.42657', u'2.63215', u'0.00163', u'0.90176']",5147289865682944
5,13,"[u'-30.35896', u'39.76972', u'17.63286', u'0.00408', u'0.74523']",5153049148391424
4,38,"[u'-34.01403', u'35.71333', u'19.65033', u'0.01063', u'0.81718']",5157197281492992
4,20,"[u'-61.72657', u'38.03661', u'19.79453', u'0.00333', u'0.88670']",5159696684023808
5,48,"[u'-83.60328', u'13.07359', u'19.99606', u'0.04547', u'0.04825']",5169618595348480
5,66,"[u'-98.80478', u'22.47681', u'4.29787', u'0.04299', u'0.95181']",5178081291534336
5,62,"[u'-50.35733', u'32.03684', u'15.13042', u'0.00110', u'0.99688']",5186378094608384
5,29,"[u'-83.53897', u'4.03002', u'4.48704', u'0.00243', u'0.02468']",5197870353350656
5,58,"[u'-99.09511', u'1.39463', u'5.63782', u'0.00439', u'0.66904']",5206065687822336
4,227,"[u'-61.15165', u'35.91463', u'1.83750', u'0.02057', u'0.89683']",5207287069147136
4,234,"[u'-75.18815', u'35.50957', u'17.25159', u'0.01525', u'0.92320']",5212260104404992
4,247,"[u'-35.07275', u'16.74502', u'7.06673', u'0.04613', u'0.91511']",5217233139662848
4,246,"[u'-47.30101', u'38.49726', u'18.78354', u'0.02402', u'0.19506']",5222194095325184
4,231,"[u'-25.77525', u'10.27341', u'16.69334', u'0.00827', u'0.39337']",5237101121503232
4,241,"[u'-61.33603', u'19.55599', u'1.34049', u'0.00945', u'0.93817']",5242036307361792
5,210,"[u'-90.97403', u'22.48224', u'17.55512', u'0.03857', u'0.04589']",5258821576425472
4,219,"[u'-96.82705', u'36.32209', u'15.53096', u'0.02914', u'0.79098']",5260405077180416
4,208,"[u'-36.19705', u'13.85795', u'1.68617', u'0.04368', u'0.26246']",5288027354038272
5,229,"[u'-97.14236', u'35.77791', u'9.73320', u'0.04430', u'0.32119']",5293786636746752
4,175,"[u'-95.05080', u'30.67687', u'15.36237', u'0.00139', u'0.64942']",5300434172379136
5,220,"[u'-38.00415', u'35.37620', u'1.01251', u'0.02741', u'0.67849']",5327115582963712
5,174,"[u'-77.13554', u'0.18318', u'14.84360', u'0.04047', u'0.10421']",5348024557502464
5,164,"[u'-37.80310', u'1.84766', u'7.93562', u'0.04934', u'0.41888']",5350511075131392
5,124,"[u'-72.09223', u'34.25508', u'1.19337', u'0.04768', u'0.33807']",5352997592760320
5,155,"[u'-74.16084', u'37.57593', u'17.80339', u'0.04761', u'0.62186']",5354843354955776
4,122,"[u'-27.29057', u'19.38193', u'19.14034', u'0.01311', u'0.14742']",5357970628018176
5,172,"[u'-35.65204', u'32.76002', u'17.81918', u'0.04170', u'0.21424']",5362931583680512
5,201,"[u'-98.71264', u'24.23836', u'1.94738', u'0.01083', u'0.65344']",5367079314128896
4,118,"[u'-34.74297', u'37.37913', u'12.46263', u'0.04952', u'0.34272']",5367916698533888
4,169,"[u'-34.29492', u'12.71332', u'19.71968', u'0.02469', u'0.88641']",5372838999490560
4,103,"[u'-77.35791', u'38.96887', u'3.35018', u'0.02272', u'0.95871']",5377838609858560
4,123,"[u'-99.24627', u'6.07788', u'11.63388', u'0.03958', u'0.90905']",5382773795717120
5,249,"[u'-57.68939', u'38.99207', u'13.83213', u'0.01021', u'0.06748']",5388069221957632
4,161,"[u'-84.28054', u'4.92878', u'9.48922', u'0.00486', u'0.92498']",5394598109118464
4,142,"[u'-40.42559', u'23.76148', u'1.01899', u'0.04856', u'0.65140']",5399559064780800
5,116,"[u'-95.03199', u'39.23913', u'6.38544', u'0.00844', u'0.70155']",5401142565535744
4,133,"[u'-66.01611', u'0.86599', u'16.98064', u'0.00031', u'0.41041']",5410987167449088
5,213,"[u'-25.03918', u'37.31592', u'4.67084', u'0.02718', u'0.38325']",5421192009744384
4,180,"[u'-29.25285', u'32.09046', u'3.34425', u'0.01244', u'0.75233']",5426227322028032
4,93,"[u'-95.88806', u'4.76829', u'9.55737', u'0.00279', u'0.11136']",5428764842393600
5,90,"[u'-97.79489', u'8.33881', u'5.05241', u'0.00743', u'0.07030']",5434524125102080
4,159,"[u'-75.65434', u'2.92974', u'17.62562', u'0.03153', u'0.02890']",5438672258203648
5,101,"[u'-27.83041', u'1.03430', u'3.23374', u'0.01341', u'0.53401']",5441171660734464
4,119,"[u'-75.34483', u'3.68591', u'17.33228', u'0.00199', u'0.78686']",5451093572059136
4,145,"[u'-90.33333', u'6.67563', u'17.67192', u'0.00839', u'0.18334']",5459556268244992
4,156,"[u'-97.64870', u'3.12276', u'12.09982', u'0.03115', u'0.07076']",5467853071319040
4,0,"[u'-86.10428', u'7.22468', u'5.73004', u'0.02012', u'0.68944']",5629499534213120
5,26,"[u'-90.15210', u'36.69975', u'7.33514', u'0.00069', u'0.92511']",5631986051842048
4,5,"[u'-95.48721', u'2.73429', u'17.58345', u'0.00007', u'0.09331']",5634472569470976
4,25,"[u'-88.80345', u'2.30617', u'4.24716', u'0.04623', u'0.09038']",5636318331666432
4,2,"[u'-92.70371', u'38.16698', u'2.06310', u'0.01650', u'0.98392']",5639445604728832
5,7,"[u'-26.89211', u'1.31760', u'17.42878', u'0.01457', u'0.92004']",5644406560391168
4,113,"[u'-94.62348', u'11.15502', u'19.54105', u'0.01916', u'0.08587']",5648554290839552
4,89,"[u'-30.86316', u'39.90241', u'17.57247', u'0.02980', u'0.27383']",5649050225344512
5,1,"[u'-32.54547', u'21.47151', u'19.54123', u'0.04879', u'0.00736']",5649391675244544
4,6,"[u'-35.39683', u'38.85035', u'3.06029', u'0.04730', u'0.06036']",5654313976201216
5,4,"[u'-98.67274', u'38.84301', u'1.56369', u'0.04083', u'0.15711']",5659313586569216
5,14,"[u'-35.20514', u'29.99289', u'1.32628', u'0.04629', u'0.06507']",5664248772427776
4,47,"[u'-29.03158', u'38.49616', u'3.68538', u'0.04338', u'0.58432']",5668600916475904
5,60,"[u'-40.45209', u'1.96853', u'11.55084', u'0.00080', u'0.08648']",5669544198668288
5,28,"[u'-26.83255', u'10.51856', u'18.97417', u'0.02904', u'0.98895']",5676073085829120
4,50,"[u'-95.77170', u'34.55473', u'1.10741', u'0.01779', u'0.15223']",5681034041491456
5,10,"[u'-88.68470', u'1.19968', u'19.30590', u'0.04308', u'0.05221']",5682617542246400
4,21,"[u'-36.52425', u'2.25372', u'13.91772', u'0.04774', u'0.01276']",5692462144159744
4,98,"[u'-94.08229', u'14.69144', u'12.28969', u'0.04857', u'0.96767']",5700305828184064
4,53,"[u'-68.09959', u'0.43916', u'19.01204', u'0.03376', u'0.00386']",5702666986455040
4,22,"[u'-94.34357', u'24.58958', u'3.50874', u'0.04956', u'0.94253']",5707702298738688
5,16,"[u'-96.71009', u'34.24729', u'18.98952', u'0.00996', u'0.00356']",5710239819104256
4,3,"[u'-25.89266', u'3.96381', u'19.59271', u'0.00869', u'0.88780']",5715999101812736
4,27,"[u'-33.86164', u'26.00472', u'2.23956', u'0.04633', u'0.01410']",5720147234914304
4,8,"[u'-96.94686', u'39.84624', u'19.91225', u'0.00038', u'0.49723']",5722646637445120
4,17,"[u'-31.49999', u'1.98528', u'3.42400', u'0.04788', u'0.61679']",5732568548769792
5,52,"[u'-94.84010', u'37.92435', u'9.91848', u'0.00759', u'0.92570']",5741031244955648
5,37,"[u'-29.53534', u'17.54035', u'1.80282', u'0.04515', u'0.07739']",5749328048029696
4,11,"[u'-44.64034', u'37.48539', u'3.35335', u'0.04662', u'0.00387']",5760820306771968
4,24,"[u'-60.99416', u'38.87144', u'18.62578', u'0.00305', u'0.89830']",5769015641243648
5,214,"[u'-96.81301', u'36.42280', u'7.73562', u'0.01874', u'0.12023']",5770237022568448
5,196,"[u'-92.97311', u'6.25981', u'3.72911', u'0.04098', u'0.25898']",5775210057826304
5,250,"[u'-39.05956', u'5.08148', u'13.96670', u'0.04156', u'0.11162']",5777055820021760
5,228,"[u'-86.49859', u'0.62579', u'4.45496', u'0.01314', u'0.27460']",5780183093084160
5,226,"[u'-29.12306', u'4.64474', u'6.45964', u'0.04402', u'0.44387']",5785144048746496
4,191,"[u'-82.29678', u'39.80864', u'6.50021', u'0.00522', u'0.69429']",5790129163599872
5,255,"[u'-31.86240', u'25.57295', u'5.61465', u'0.00247', u'0.23961']",5795051464556544
5,207,"[u'-94.94602', u'29.25630', u'6.48274', u'0.00172', u'0.70140']",5800051074924544
4,230,"[u'-26.15526', u'23.52838', u'18.36957', u'0.02670', u'0.82397']",5804986260783104
5,222,"[u'-64.18715', u'0.29395', u'1.26777', u'0.02911', u'0.24967']",5816810574184448
5,183,"[u'-42.17149', u'34.28851', u'4.03751', u'0.04312', u'0.83056']",5821771529846784
4,212,"[u'-54.41703', u'2.67785', u'18.18866', u'0.00846', u'0.75383']",5823355030601728
4,233,"[u'-78.45209', u'8.22689', u'16.91897', u'0.04763', u'0.19375']",5833199632515072
5,165,"[u'-95.72561', u'29.39824', u'19.06591', u'0.04299', u'0.49043']",5850977307459584
5,192,"[u'-88.14469', u'6.99568', u'9.86373', u'0.04883', u'0.14299']",5856736590168064
5,163,"[u'-83.83209', u'23.10956', u'1.04253', u'0.04985', u'0.42104']",5863384125800448
5,181,"[u'-45.27207', u'4.38969', u'11.35509', u'0.00132', u'0.12546']",5873306037125120
5,245,"[u'-35.04484', u'5.35244', u'7.44098', u'0.02001', u'0.95537']",5881768733310976
5,209,"[u'-70.58994', u'24.61300', u'19.76324', u'0.00011', u'0.66462']",5890065536385024
5,147,"[u'-38.35993', u'39.87401', u'13.12005', u'0.04157', u'0.16691']",5910974510923776
4,138,"[u'-33.33394', u'21.74653', u'14.26682', u'0.00494', u'0.00764']",5913461028552704
5,73,"[u'-94.96402', u'12.72076', u'19.20153', u'0.03841', u'0.05237']",5915947546181632
5,134,"[u'-80.73494', u'39.56580', u'2.71315', u'0.03222', u'0.83205']",5917793308377088
5,80,"[u'-29.45525', u'4.96104', u'7.65723', u'0.00871', u'0.04049']",5920920581439488
5,127,"[u'-42.28661', u'27.44894', u'19.54319', u'0.03969', u'0.06412']",5925881537101824
5,185,"[u'-75.34016', u'2.05255', u'1.51775', u'0.01453', u'0.75851']",5930029267550208
4,99,"[u'-47.05498', u'30.48439', u'1.58738', u'0.00540', u'0.10642']",5930866651955200
4,157,"[u'-38.79308', u'38.90936', u'12.04077', u'0.01036', u'0.88639']",5935788952911872
5,91,"[u'-34.98783', u'28.55182', u'3.94921', u'0.04922', u'0.18052']",5940788563279872
5,100,"[u'-48.80709', u'39.97318', u'17.38156', u'0.03309', u'0.90473']",5945723749138432
4,232,"[u'-70.74000', u'34.56590', u'6.68861', u'0.00421', u'0.06105']",5951019175378944
4,144,"[u'-26.27372', u'9.47722', u'17.07977', u'0.02320', u'0.88857']",5957548062539776
5,95,"[u'-84.83727', u'0.94530', u'19.75161', u'0.00847', u'0.59783']",5962509018202112
5,106,"[u'-65.79145', u'38.46234', u'18.03179', u'0.01438', u'0.03502']",5964092518957056
4,104,"[u'-32.38891', u'37.17938', u'14.23481', u'0.04028', u'0.13475']",5973937120870400
4,238,"[u'-27.52029', u'15.59723', u'18.65422', u'0.03088', u'0.80096']",5981780804894720
