likert,effectTime,didnotagree,rawwords,agreed,when,userid,effect,param,quiet,surveyID,sessionid,key,useragent,ind,cleanTime,irb,words,audioFile,listen
2,114.636,"distorted,loud,none of the above","smooth,warm,continuous,calm,soft,low-sound,comfy",bass,2016-03-12T04:12:01,Q4h9kk7uz4tJEJDPbAOn,compression,"-57.6894,38.9921,13.8321,0.0102,0.0675",yes,PFwq69xjzBpUA5skAHVJ,HBsP15L7CmaUzIKcFKKV,4616300106088448,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",249,54.54,true,"smooth,warm,continuous,calm,soft,low-sound,comfy",/static/audio/guitar4.wav,standalone
2,57.89,none of the above,"nice,active,different,interesting,unique",warm,2016-03-11T22:52:20,sZI2XyRJyeCzv60bGdmd,compression,"-30.3590,39.7697,17.6329,0.0041,0.7452",yes,XPHhk0nn2QRVjdyLjK3n,8qw4MVqAnrfQcW4Nb202,4619736616796160,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",13,77.194,true,"nice,active,different,interesting,unique",/static/audio/drums4.wav,headphones
1,10.154,"stronger,professional,sharp,spicy,higher,smooth,clear,trailing,echo-chamber,none of the above",fuzzy,"echo,revers",2016-04-08T21:03:42,1eqpkNmefHz4JYHaz2my,compression,"-95.0495,21.4266,2.6322,0.0016,0.9018",yes,FY3ec3f9Ydeari6aGsHe,7yGfVjVklTHuuNVcVLeE,4621298911150080,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",36,75.464,true,fuzzy,/static/audio/guitar4.wav,standalone
4,2.055,"lullaby,muffled,softer,none of the above","very,clear","bright,soften",2016-03-12T04:43:59,utxU1ncU4ILOaY5uhnAg,compression,"-99.1684,13.6658,4.3296,0.0061,0.9096",yes,rHKkhWlvl8ate8G3mDnG,qPx64Hfy3sw5GZdCAzlI,4623169906278400,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36",74,58.115,true,"very,clear",/static/audio/vocals2.wav,headphones
3,13.936,"jazzy,big-church,none of the above","louder,heavy,heavy-metal,noisier,bass,stronger,harder","blaring,daring,bold",2016-03-12T05:18:58,uY5oT1mMLsdmSTtb1rHS,compression,"-96.8130,36.4228,7.7356,0.0187,0.1202",yes,Ga4iHZLOJXzBrKuFqyUi,xJeKaYw0avQpPjEVFyco,4629135213199360,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",214,90.843,true,"louder,heavy,heavy-metal,noisier,bass,stronger,harder",/static/audio/drums4.wav,headphones
3,18.413,"soft,none of the above",pleasant,louder,2016-03-12T06:45:19,Dc1FXtJONc1KVHXocEuL,compression,"-95.0508,30.6769,15.3624,0.0014,0.6494",yes,6hsTNTDWFSvurWMmnWGJ,vQCULkCU3ubj0UoWR3oF,4632893712236544,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",175,25.324,true,pleasant,/static/audio/vocals2.wav,headphones
1,40.254,none of the above,"dull,far,muted","softened,low-energy,quiet,less-effect,muffled",2016-04-08T21:09:59,hUhLIgA20Nhi4fMgyvA8,compression,"-98.8048,22.4768,4.2979,0.0430,0.9518",yes,rShiofpIaeWnt9QzNT4u,H24useygIZbLSlDPP1lA,4641074551193600,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",66,12.635,true,"dull,far,muted",/static/audio/drums4.wav,headphones
2,53.596,"additional,delayed,more-pleasant,more,echo,higher-quality,none of the above","hollow,close,hallway","too-loud,recording,too-much-sharp-high-notes",2016-04-08T18:20:52,91L5iSINKtQ7PHaJpVpe,compression,"-45.2721,4.3897,11.3551,0.0013,0.1255",yes,62BfS3W19xsOyi1gjEit,SuzHlnVO5KNqEce4tbN5,4644489855500288,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",181,16.344,true,"hollow,close,hallway",/static/audio/vocals2.wav,headphones
3,44.214,"louder,sweet-voice,warm,none of the above","echo,slow,booming","strong,twangy",2016-04-08T19:23:38,TeHtyDICwZCETHiRJP2E,compression,"-41.8129,24.4123,18.8115,0.0026,0.7852",yes,XggFq0WSupIg7V2aJUsq,dtZJUghJ2ZrwQ58eRZOi,4645816195088384,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",162,72.615,true,"echo,slow,booming",/static/audio/drums4.wav,standalone
2,14.534,,"pleasent,crisp,improvement",,2016-03-11T20:57:25,g5evbbpQy6pOH6e26Uw6,compression,"-29.5353,17.5404,1.8028,0.0452,0.0774",yes,KmziuMVXA4ea9ImkN4hc,MgqtnccIXJQQmLwnR50h,4646221264191488,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",37,23.619,true,"pleasant,crisp,improvement",/static/audio/vocals2.wav,standalone
